4.1.1.50	TMUE_1000003104
1.2.1.3	TMUE_2000009606,TMUE_0000001435,TMUE_3000013698
2.1.1.1	TMUE_2000006829,TMUE_3000014172
2.3.2.26	TMUE_3000013244,TMUE_1000005410,TMUE_1000005427,TMUE_3000014113,TMUE_0000000698,TMUE_1000005884,TMUE_3000014811,TMUE_3000014115,TMUE_0000000964,TMUE_3000012064,TMUE_2000006122
3.6.5.5	TMUE_3000012579,TMUE_3000013432,TMUE_2000006971,TMUE_0000001053
2.7.8.5	TMUE_2000009699
7.1.1.2	TMUE_M000000039,TMUE_M000000037,TMUE_M000000038,TMUE_M000000028,TMUE_M000000033,TMUE_M000000027,TMUE_M000000030
2.4.1.17	TMUE_2000009714,TMUE_1000004031,TMUE_3000014010,TMUE_3000014011
2.3.3.10	TMUE_0000002109,TMUE_2000007909
3.6.1.6	TMUE_0000002218,TMUE_1000005191,TMUE_3000014317
1.1.1.153	TMUE_2000009540
1.1.1.300	TMUE_3000014283,TMUE_3000013037,TMUE_3000011127,TMUE_3000013749,TMUE_0000000253
7.2.1.3	TMUE_2000007479
2.3.2.25	TMUE_1000004327,TMUE_1000002548
3.5.1.98	TMUE_1000005870,TMUE_3000014156,TMUE_1000004119,TMUE_2000009445,TMUE_3000014230,TMUE_0000001919,TMUE_1000004744
2.7.1.68	TMUE_1000005429
3.1.4.11	TMUE_2000008451,TMUE_1000004086,TMUE_3000012046
5.3.1.8	TMUE_0000002060,TMUE_3000014620
2.1.2.10	TMUE_3000012353,TMUE_3000012352
3.1.4.2	TMUE_3000012590
2.6.1.88	TMUE_0000002133
3.5.4.12	TMUE_3000013433,TMUE_3000011272,TMUE_3000011178,TMUE_3000013351
3.1.3.2	TMUE_2000006135,TMUE_2000009450,TMUE_3000013841,TMUE_2000006140
2.1.1.311	TMUE_0000000061,TMUE_2000007660
2.3.1.15	TMUE_2000007788
1.8.1.8	TMUE_3000014128,TMUE_2000008003,TMUE_0000000361
2.3.2.27	TMUE_3000014803,TMUE_3000011169,TMUE_3000013657,TMUE_1000005461,TMUE_2000008449,TMUE_2000008377,TMUE_3000012000,TMUE_0000000409,TMUE_3000012149,TMUE_1000005812,TMUE_2000010659,TMUE_1000003446,TMUE_2000008855,TMUE_1000003103,TMUE_1000003102,TMUE_3000011098,TMUE_3000013685,TMUE_3000013717,TMUE_1000004999,TMUE_3000014059,TMUE_2000006329,TMUE_2000006181,TMUE_2000009917,TMUE_1000003763,TMUE_2000007296,TMUE_1000003207,TMUE_1000005959,TMUE_2000008814,TMUE_2000009732,TMUE_2000008638,TMUE_2000008731,TMUE_2000006167,TMUE_3000013068,TMUE_3000010968,TMUE_2000006761,TMUE_3000013516,TMUE_3000013789,TMUE_1000003630,TMUE_3000013140,TMUE_3000012325,TMUE_2000007216,TMUE_2000008717,TMUE_0000000742,TMUE_2000009247,TMUE_1000005470,TMUE_1000004129,TMUE_0000000510
2.7.2.3	TMUE_2000006953
5.6.2.1	TMUE_2000008885,TMUE_2000006587,TMUE_2000009431
3.1.1.8	TMUE_1000002952,TMUE_3000013641
6.2.1.5	TMUE_0000000115,TMUE_3000011811,TMUE_0000002207
2.3.1.48	TMUE_1000004998,TMUE_0000001314,TMUE_1000004171,TMUE_2000006237,TMUE_1000004349,TMUE_1000004513,TMUE_1000004872,TMUE_2000009248,TMUE_3000014269,TMUE_1000003231,TMUE_1000004319,TMUE_3000012083,TMUE_1000004008,TMUE_0000000795
4.1.1.65	TMUE_3000013076
2.7.7.19	TMUE_0000001459,TMUE_1000003373,TMUE_3000014760,TMUE_1000004704,TMUE_2000009066,TMUE_0000001283
2.1.1.354	TMUE_0000000056,TMUE_3000011641,TMUE_2000007657,TMUE_2000007005
2.5.1.46	TMUE_0000000166,TMUE_3000012770
3.1.2.27	TMUE_1000003025,TMUE_1000004228
2.1.1.314	TMUE_1000004005
2.7.1.48	TMUE_0000001909,TMUE_3000014533,TMUE_3000014507
2.5.1.18	TMUE_0000001369,TMUE_2000008926,TMUE_3000014832,TMUE_0000000957,TMUE_0000001057,TMUE_0000002298,TMUE_3000012655
2.7.1.171	TMUE_2000008486
2.7.8.15	TMUE_2000010623,TMUE_0000000481
2.7.4.2	TMUE_0000000690,TMUE_2000009837
6.2.1.3	TMUE_0000000026,TMUE_2000007627,TMUE_3000014436,TMUE_2000006926,TMUE_3000013113,TMUE_0000002272,TMUE_2000010305
2.7.7.2	TMUE_3000012850
1.1.1.42	TMUE_1000004666,TMUE_3000014942
2.1.1.10	TMUE_2000008732
5.2.1.8	TMUE_2000009384,TMUE_3000012630,TMUE_3000012343,TMUE_0000001522,TMUE_3000013686,TMUE_1000005607,TMUE_2000008642,TMUE_3000013013,TMUE_2000006987,TMUE_3000014168,TMUE_0000000743,TMUE_2000006993,TMUE_1000003815,TMUE_3000012318,TMUE_1000003342,TMUE_0000001052,TMUE_2000007313,TMUE_2000006423,TMUE_3000013350
6.1.1.22	TMUE_2000007565,TMUE_1000004598,TMUE_1000004597
3.5.1.122	TMUE_1000005192
2.4.2.1	TMUE_3000011401,TMUE_2000009188
2.7.1.67	TMUE_3000013126,TMUE_2000010341,TMUE_2000009971
2.5.1.6	TMUE_2000007592,TMUE_3000011406
2.7.1.26	TMUE_3000011951
6.1.1.1	TMUE_3000011626,TMUE_1000003844
2.7.7.7	TMUE_2000006811,TMUE_3000013245,TMUE_1000003738,TMUE_2000006800,TMUE_2000008159,TMUE_1000003024,TMUE_2000009701,TMUE_2000009895,TMUE_2000006731,TMUE_1000005254,TMUE_2000006799,TMUE_3000013625
5.3.3.21	TMUE_3000011610,TMUE_3000013295
4.1.2.4	TMUE_3000013530
3.1.3.56	TMUE_2000007789,TMUE_1000005673,TMUE_1000004440
6.2.1.1	TMUE_2000009605
2.3.1.255	TMUE_3000011526
2.1.1.225	TMUE_1000003215
3.2.1.28	TMUE_3000013671,TMUE_3000011869,TMUE_2000006064,TMUE_0000001462,TMUE_3000011868
2.7.7.8	TMUE_0000000291,TMUE_3000010851
3.1.3.3	TMUE_2000010146
2.4.1.133	TMUE_2000009601,TMUE_2000007798
3.2.1.23	TMUE_2000009619
5.3.4.1	TMUE_3000010882,TMUE_1000004967,TMUE_2000008975,TMUE_3000013547,TMUE_1000002902,TMUE_2000006854
3.6.5.4	TMUE_3000010789,TMUE_0000002147
2.7.4.24	TMUE_1000003933
5.1.1.18	TMUE_1000004336
2.4.2.30	TMUE_3000011000,TMUE_2000007991
2.8.1.8	TMUE_2000006606
2.3.1.12	TMUE_3000013740
6.1.1.21	TMUE_2000007573
4.2.1.104	TMUE_3000010988
2.4.1.41	TMUE_2000009326,TMUE_1000004438,TMUE_2000007653,TMUE_0000000052,TMUE_2000007570,TMUE_2000006855,TMUE_0000002320
6.4.1.4	TMUE_2000010163,TMUE_0000000627,TMUE_3000014837
2.1.1.205	TMUE_3000011640
6.3.3.2	TMUE_2000008805
3.1.4.53	TMUE_3000013474
1.6.2.2	TMUE_1000002974,TMUE_0000002214,TMUE_2000007697,TMUE_1000003455,TMUE_1000002973
2.3.1.51	TMUE_1000003882,TMUE_3000014272
3.1.3.96	TMUE_3000011679,TMUE_1000005721,TMUE_1000003983
1.1.1.100	TMUE_3000010877,TMUE_2000006207,TMUE_3000012508
4.1.1.35	TMUE_2000009349
3.1.4.17	TMUE_1000004108,TMUE_0000001708,TMUE_3000011981,TMUE_2000010242
2.1.1.362	TMUE_2000007244
2.1.1.166	TMUE_2000007166
1.1.1.2	TMUE_2000008564,TMUE_1000005662
3.5.1.25	TMUE_2000010324
2.3.1.286	TMUE_3000013824,TMUE_3000010771,TMUE_3000011841
3.1.1.4	TMUE_3000014663,TMUE_3000011432,TMUE_3000012942,TMUE_2000008503,TMUE_1000003830,TMUE_3000012943
2.8.3.5	TMUE_2000008659
4.2.1.1	TMUE_2000007728,TMUE_1000004158,TMUE_3000012262,TMUE_2000007023
3.5.4.5	TMUE_1000004363
2.7.1.154	TMUE_2000009444
2.7.7.79	TMUE_2000009443,TMUE_0000000783
4.6.1.1	TMUE_0000001251,TMUE_2000007288
2.7.1.127	TMUE_1000003381
4.1.2.13	TMUE_1000004561
2.3.2.13	TMUE_1000003623
3.6.1.17	TMUE_2000009209
2.4.1.142	TMUE_0000001598,TMUE_2000010510
3.9.1.3	TMUE_2000007052
2.4.1.186	TMUE_3000012426
2.7.8.27	TMUE_3000013803
2.1.1.211	TMUE_2000009571
2.7.6.1	TMUE_2000008488
6.1.1.12	TMUE_1000003707,TMUE_3000010929
2.4.1.198	TMUE_1000003444
1.8.4.12	TMUE_2000010111
2.3.1.50	TMUE_1000003964,TMUE_3000012853
2.4.1.18	TMUE_2000008395
7.2.2.10	TMUE_3000013528,TMUE_3000011507,TMUE_2000007155,TMUE_1000003768
2.1.1.77	TMUE_3000011387
1.1.1.8	TMUE_2000007597
4.2.1.17	TMUE_2000010679
1.4.1.3	TMUE_3000011849
3.1.2.22	TMUE_2000007520,TMUE_1000003795,TMUE_1000003875
5.3.2.1	TMUE_2000010429,TMUE_2000007918,TMUE_0000001164
3.6.1.13	TMUE_3000014869,TMUE_1000005157,TMUE_3000013710,TMUE_0000000829,TMUE_0000001240,TMUE_3000012056,TMUE_3000014704,TMUE_2000007514
2.7.4.21	TMUE_1000003972
3.1.1.13	TMUE_3000013335,TMUE_3000013416
1.4.1.14	TMUE_2000010517
2.7.4.9	TMUE_1000002623
2.3.1.234	TMUE_0000002192,TMUE_2000007773,TMUE_2000010106
3.1.3.46	TMUE_3000012924
4.1.1.15	TMUE_2000008891
2.4.1.68	TMUE_3000012033
3.5.1.14	TMUE_3000013059,TMUE_3000011072
3.2.1.31	TMUE_3000013489
2.6.1.16	TMUE_3000012417,TMUE_0000001744
1.1.1.41	TMUE_1000004667,TMUE_2000007122
1.4.1.4	TMUE_3000014859,TMUE_0000000449
1.8.1.9	TMUE_2000006213,TMUE_3000013500
2.3.1.39	TMUE_2000009392
1.3.1.90	TMUE_2000008479
6.1.1.3	TMUE_3000013727
3.5.1.124	TMUE_1000005012
2.3.1.168	TMUE_1000005297,TMUE_0000001263
1.1.1.271	TMUE_3000011601
5.3.3.2	TMUE_2000010236
1.2.4.1	TMUE_1000003010,TMUE_3000013520
2.7.1.1	TMUE_3000013663,TMUE_2000008220
2.7.1.40	TMUE_1000003136,TMUE_2000009037,TMUE_0000000835
3.5.2.2	TMUE_3000013252
2.3.1.29	TMUE_3000014551
2.4.1.101	TMUE_1000004856
7.6.2.2	TMUE_1000005151
6.3.5.2	TMUE_0000000213,TMUE_3000014907
2.8.2.23	TMUE_1000003871
3.2.1.49	TMUE_3000014387
2.3.2.5	TMUE_3000012219,TMUE_0000000544
3.2.1.14	TMUE_2000006898,TMUE_2000010312,TMUE_0000001027,TMUE_2000010311,TMUE_2000007334,TMUE_0000001028,TMUE_0000000774
2.7.1.107	TMUE_3000013110,TMUE_2000008016,TMUE_2000006544,TMUE_1000004637
3.1.3.36	TMUE_2000008744,TMUE_1000005805,TMUE_3000013694
3.6.1.45	TMUE_3000014174
2.3.2.31	TMUE_3000012257,TMUE_3000010751
2.1.1.319	TMUE_2000007885,TMUE_1000005728,TMUE_2000007731
3.6.1.22	TMUE_3000012618,TMUE_3000012620
1.2.4.4	TMUE_1000003979,TMUE_2000010662,TMUE_0000000412
3.1.1.5	TMUE_1000005424,TMUE_3000013109,TMUE_1000004271
3.2.1.25	TMUE_0000000781,TMUE_2000008297,TMUE_2000008295,TMUE_0000000492
2.9.1.2	TMUE_3000013771
1.5.1.2	TMUE_3000010758
2.6.1.1	TMUE_2000008962,TMUE_2000006468
2.4.1.117	TMUE_3000011163,TMUE_3000011255
2.1.1.57	TMUE_2000010000
5.1.3.1	TMUE_1000003277
2.1.1.228	TMUE_2000009946
5.3.1.9	TMUE_2000008839,TMUE_0000000315
5.4.2.2	TMUE_3000014496
3.7.1.2	TMUE_3000012116
3.1.1.96	TMUE_1000003101
3.1.4.44	TMUE_0000001388,TMUE_2000008389
7.6.2.1	TMUE_2000006112,TMUE_2000007632,TMUE_0000000031,TMUE_1000005816,TMUE_3000013797
2.7.1.11	TMUE_1000003832,TMUE_1000003922
2.3.1.199	TMUE_3000013565
2.7.8.1	TMUE_1000003456
3.1.4.54	TMUE_2000006684
2.7.1.17	TMUE_2000009887
2.7.1.164	TMUE_1000003936
1.1.1.27	TMUE_1000005352
3.1.3.7	TMUE_3000014695
3.1.1.47	TMUE_2000008162
2.4.1.221	TMUE_3000012027,TMUE_2000006258
2.7.1.33	TMUE_1000005751
1.3.1.88	TMUE_1000003112
2.7.1.137	TMUE_1000003713
2.3.1.85	TMUE_2000008856
2.5.1.59	TMUE_1000004742
2.4.1.214	TMUE_1000005877,TMUE_2000007422,TMUE_0000000896
2.3.1.256	TMUE_2000009549
2.1.1.360	TMUE_2000009651
7.6.2.3	TMUE_0000001014,TMUE_1000005733,TMUE_1000003410,TMUE_1000005163
2.4.1.122	TMUE_2000006477
2.3.3.1	TMUE_2000007814
2.1.1.361	TMUE_2000007332
2.7.1.94	TMUE_2000009105
2.4.1.267	TMUE_1000002577
2.4.1.83	TMUE_3000012168,TMUE_2000009680
6.3.2.3	TMUE_1000003976,TMUE_1000003977,TMUE_1000003975
3.6.1.59	TMUE_0000000871,TMUE_3000012447
1.3.1.93	TMUE_2000008941
2.1.1.321	TMUE_1000005001
3.1.3.25	TMUE_3000010742
6.1.1.11	TMUE_3000014264,TMUE_2000009317,TMUE_3000011764
2.4.1.16	TMUE_3000011635,TMUE_1000002882
4.2.3.2	TMUE_3000011654
2.3.1.179	TMUE_1000003892
3.2.1.209	TMUE_3000014314
3.5.1.128	TMUE_3000013773
3.5.4.4	TMUE_3000011198
6.1.1.7	TMUE_1000005386,TMUE_1000005460
2.4.1.255	TMUE_2000008946,TMUE_3000013462
6.1.1.5	TMUE_1000003660,TMUE_3000014274
4.2.1.134	TMUE_3000011321
2.1.1.260	TMUE_2000009898
4.2.1.93	TMUE_3000013986,TMUE_3000014078
3.2.1.1	TMUE_2000009275
3.2.1.143	TMUE_2000007192
2.4.2.29	TMUE_3000014719,TMUE_3000013131
3.2.1.114	TMUE_1000004167
3.1.3.5	TMUE_2000008210,TMUE_0000000463,TMUE_1000005800,TMUE_1000003546
6.3.4.21	TMUE_3000013414,TMUE_3000013333
4.2.1.3	TMUE_2000007998,TMUE_0000000356
2.1.1.13	TMUE_0000001119,TMUE_3000011372,TMUE_0000001870
3.5.1.26	TMUE_2000007390
2.4.2.3	TMUE_2000008088
6.2.1.12	TMUE_1000003044,TMUE_1000004794
6.3.2.2	TMUE_1000003071
3.3.2.9	TMUE_3000014025
2.1.1.85	TMUE_2000007064
1.6.5.5	TMUE_3000012058
3.6.4.6	TMUE_2000009308
1.2.1.12	TMUE_1000005653
3.2.1.45	TMUE_3000013283,TMUE_1000005620
6.2.1.45	TMUE_0000001815,TMUE_3000013256,TMUE_2000008098,TMUE_3000011503,TMUE_2000007066
2.3.1.9	TMUE_3000014293
2.7.1.149	TMUE_2000008955
2.3.1.259	TMUE_1000003856
1.1.5.3	TMUE_1000003635
3.7.1.3	TMUE_2000006281
3.2.1.51	TMUE_1000004800,TMUE_1000003877
2.4.2.7	TMUE_2000009401
1.1.1.21	TMUE_2000008567,TMUE_2000008568,TMUE_0000001628
3.1.2.2	TMUE_3000012206
2.4.1.260	TMUE_3000013276
3.1.3.4	TMUE_3000011594,TMUE_1000003143
2.3.2.32	TMUE_3000013677,TMUE_1000005098,TMUE_1000005945
1.1.1.205	TMUE_3000010985
3.1.1.79	TMUE_2000009424,TMUE_2000007034
2.4.2.8	TMUE_2000010209
3.1.2.4	TMUE_2000010134
6.1.1.9	TMUE_3000013277,TMUE_3000011664
2.4.2.9	TMUE_2000006803
2.3.1.291	TMUE_2000008546,TMUE_2000008253,TMUE_0000000391
2.5.1.87	TMUE_3000014089,TMUE_1000004117
2.7.1.150	TMUE_3000014079
2.1.2.1	TMUE_3000012821,TMUE_0000000715
4.1.1.33	TMUE_1000003306
5.3.1.1	TMUE_2000006240
2.1.1.63	TMUE_3000011369
3.6.1.7	TMUE_3000014328
1.1.1.206	TMUE_2000009992
7.1.1.9	TMUE_M000000032
2.8.4.5	TMUE_1000004970
1.3.8.4	TMUE_3000014477
3.2.2.29	TMUE_3000010960
2.8.2.30	TMUE_2000008751
1.1.1.181	TMUE_0000000280,TMUE_2000006523
3.1.1.106	TMUE_3000014101
2.3.1.97	TMUE_2000008553
2.7.6.2	TMUE_2000008237
2.7.1.153	TMUE_1000005000
2.4.2.26	TMUE_3000014346
3.5.1.99	TMUE_3000012063,TMUE_1000003829
3.2.1.52	TMUE_2000010095,TMUE_2000006216,TMUE_0000000144
2.8.1.9	TMUE_3000012654,TMUE_1000003241
4.1.3.4	TMUE_3000012256
2.7.1.15	TMUE_3000010990
2.7.4.14	TMUE_1000005072
7.2.2.13	TMUE_2000008666,TMUE_3000012743
2.2.1.2	TMUE_1000002796
2.4.1.143	TMUE_0000000352,TMUE_2000007994
2.4.1.1	TMUE_3000011604,TMUE_3000013301
6.1.1.10	TMUE_3000014391,TMUE_2000007337
4.1.1.32	TMUE_1000003357
3.7.1.5	TMUE_2000010518
7.1.2.2	TMUE_2000006762,TMUE_2000008407
2.1.1.309	TMUE_2000006842
4.1.2.27	TMUE_3000014786
1.3.5.1	TMUE_3000013077,TMUE_0000001980,TMUE_1000003517
1.1.1.22	TMUE_1000002828
6.1.1.18	TMUE_3000014850
3.5.1.9	TMUE_3000014358
1.4.4.2	TMUE_1000003387
2.8.1.14	TMUE_3000012549
2.7.7.15	TMUE_3000014166
2.7.1.35	TMUE_1000002871
2.3.1.21	TMUE_1000004398,TMUE_3000013862
4.2.1.18	TMUE_3000011446
5.6.1.1	TMUE_1000004699,TMUE_2000007295
1.1.1.102	TMUE_3000011643
1.3.5.2	TMUE_1000004648
3.1.1.29	TMUE_2000007140,TMUE_3000012390
2.7.1.12	TMUE_3000010843
2.7.1.59	TMUE_3000011212
2.4.2.14	TMUE_2000008650
3.1.3.43	TMUE_1000004553
2.7.1.157	TMUE_2000007661,TMUE_0000000062
2.3.1.16	TMUE_1000004080,TMUE_3000011782
1.5.5.1	TMUE_2000007782
3.2.1.22	TMUE_3000013281
6.1.1.17	TMUE_0000002227,TMUE_3000013616
2.7.7.48	TMUE_2000009307
2.7.7.6	TMUE_3000011872,TMUE_2000009715,TMUE_2000010681,TMUE_0000001951,TMUE_1000004377,TMUE_2000009446,TMUE_3000012131,TMUE_3000011615
1.8.5.8	TMUE_1000003800
6.3.5.1	TMUE_0000000706,TMUE_1000005986
5.3.3.12	TMUE_2000010091,TMUE_0000000140
2.7.7.78	TMUE_3000014280
5.3.1.23	TMUE_2000008563,TMUE_0000001737
3.2.1.113	TMUE_1000005595
4.4.1.5	TMUE_2000008669
2.7.4.6	TMUE_2000006187
3.6.1.1	TMUE_3000014262
6.1.1.14	TMUE_2000006250
6.1.1.16	TMUE_3000012460
2.7.1.158	TMUE_2000008078
2.5.1.58	TMUE_3000014564
3.1.4.4	TMUE_3000011423,TMUE_1000004078,TMUE_1000004511
2.1.1.60	TMUE_1000003316
2.5.1.75	TMUE_2000007111
3.1.3.78	TMUE_2000010107
4.1.1.17	TMUE_1000005612
2.7.7.75	TMUE_0000002228
1.5.8.4	TMUE_1000002842
2.4.1.346	TMUE_2000006658
3.2.2.21	TMUE_1000004196
2.1.1.203	TMUE_2000009253
4.2.1.22	TMUE_2000006236,TMUE_3000013233
2.1.1.233	TMUE_3000014076
2.5.1.60	TMUE_3000011881,TMUE_3000014270
3.3.1.1	TMUE_1000004178,TMUE_0000000432
2.4.1.141	TMUE_3000013704
2.1.1.37	TMUE_3000013777
2.7.1.23	TMUE_1000005859
2.3.1.22	TMUE_1000003950
2.3.3.9	TMUE_3000012610
2.1.1.346	TMUE_2000009808
2.1.1.310	TMUE_2000008876
6.3.5.3	TMUE_2000010319,TMUE_2000010320
2.5.1.39	TMUE_2000006714
2.4.1.258	TMUE_1000004834
3.5.1.89	TMUE_3000011344
2.5.1.16	TMUE_1000004571
3.2.1.20	TMUE_3000011509
3.5.4.16	TMUE_3000010940
6.1.1.19	TMUE_2000006208
2.2.1.1	TMUE_3000014194
2.1.1.201	TMUE_2000006252
5.3.1.6	TMUE_2000010529
4.2.1.2	TMUE_0000000530,TMUE_3000011916
2.3.1.254	TMUE_1000004853
6.5.1.8	TMUE_3000011850
4.3.1.19	TMUE_2000006320
6.1.1.15	TMUE_2000007967
5.4.2.12	TMUE_2000009904
2.1.1.358	TMUE_2000007226
2.1.1.33	TMUE_3000012144
2.1.1.355	TMUE_3000013705,TMUE_1000003168
3.5.1.3	TMUE_1000004234
1.1.1.37	TMUE_3000012381,TMUE_2000007740
2.7.4.3	TMUE_3000011822,TMUE_3000013910
2.1.1.45	TMUE_1000002611
3.1.4.39	TMUE_2000008014
4.3.2.5	TMUE_1000005456
3.6.1.62	TMUE_3000014204
6.3.2.51	TMUE_1000005133
3.5.1.2	TMUE_2000007123
6.3.4.4	TMUE_3000013724
2.1.1.183	TMUE_3000011989
2.1.1.320	TMUE_2000008121,TMUE_1000005379
1.8.4.2	TMUE_1000003997
4.3.2.2	TMUE_3000010845
4.4.1.1	TMUE_1000005541
2.4.1.131	TMUE_2000006822
2.5.1.108	TMUE_2000008584
6.4.1.1	TMUE_3000012437
1.2.1.36	TMUE_3000011694
2.8.1.12	TMUE_2000008064
1.1.1.103	TMUE_1000005231
2.6.1.2	TMUE_1000004841
2.6.1.52	TMUE_1000005262
6.1.1.2	TMUE_2000007088
2.7.7.12	TMUE_0000002093
2.4.1.145	TMUE_2000008847
2.5.1.17	TMUE_2000007006
3.2.1.207	TMUE_2000010573
2.1.1.214	TMUE_3000013966
1.1.1.35	TMUE_3000011978
2.7.7.41	TMUE_3000013695
2.1.1.100	TMUE_2000009089
2.1.1.22	TMUE_2000009885
6.5.1.4	TMUE_3000012279
5.6.2.2	TMUE_2000010648,TMUE_2000008115
1.5.1.20	TMUE_1000002953
2.1.1.56	TMUE_2000009135
2.7.1.30	TMUE_2000006756
2.4.1.80	TMUE_1000003807
2.3.1.257	TMUE_3000013583
2.1.1.244	TMUE_3000014458
6.3.2.17	TMUE_3000014138
2.4.1.65	TMUE_2000006874
2.4.1.50	TMUE_2000008042
5.4.2.3	TMUE_3000014287
3.5.4.6	TMUE_3000014223
