Gene name	Caenorhabditis elegans (PRJNA13758) [WS285] gene stable ID	Homology type
TMUE_3000010987	WBGene00019983	ortholog_many2many
TMUE_3000010987	WBGene00016375	ortholog_many2many
TMUE_3000010986	WBGene00008887	ortholog_one2one
TMUE_3000010985		
TMUE_3000010984	WBGene00020683	ortholog_one2one
TMUE_3000013160		
TMUE_3000013158		
TMUE_3000013157	WBGene00001032	ortholog_one2one
TMUE_3000010981		
TMUE_3000013155		
TMUE_3000010979	WBGene00010834	ortholog_one2many
TMUE_3000013154	WBGene00008555	ortholog_one2one
TMUE_3000010978	WBGene00016981	ortholog_one2one
TMUE_3000013153	WBGene00013289	ortholog_one2one
TMUE_3000013152		
TMUE_3000010976	WBGene00000202	ortholog_one2one
TMUE_3000010975	WBGene00017285	ortholog_one2many
TMUE_3000010975	WBGene00017286	ortholog_one2many
TMUE_3000013150		
TMUE_3000013149	WBGene00015499	ortholog_one2one
TMUE_3000010972		
TMUE_3000013147	WBGene00017974	ortholog_one2one
TMUE_3000010971	WBGene00001328	ortholog_one2one
TMUE_3000013146	WBGene00010199	ortholog_one2one
TMUE_3000010969		
TMUE_3000010968		
TMUE_3000013145	WBGene00006373	ortholog_one2one
TMUE_3000010967		
TMUE_3000010966	WBGene00002215	ortholog_many2many
TMUE_3000010966	WBGene00002214	ortholog_many2many
TMUE_3000013143	WBGene00004297	ortholog_one2one
TMUE_3000010964	WBGene00013364	ortholog_one2many
TMUE_3000010964	WBGene00008831	ortholog_one2many
TMUE_3000013142		
TMUE_3000010963	WBGene00001049	ortholog_one2one
TMUE_3000010962	WBGene00003830	ortholog_one2one
TMUE_3000013141	WBGene00012459	ortholog_one2one
TMUE_3000013140	WBGene00002278	ortholog_one2one
TMUE_3000010961	WBGene00007012	ortholog_one2one
TMUE_3000013139		
TMUE_3000013136		
TMUE_3000013134		
TMUE_3000010960		
TMUE_3000013131	WBGene00006567	ortholog_one2one
TMUE_3000010957		
TMUE_3000010955		
TMUE_3000010954	WBGene00018649	ortholog_one2many
TMUE_3000010954	WBGene00018651	ortholog_one2many
TMUE_3000010954	WBGene00235368	ortholog_one2many
TMUE_3000010954	WBGene00017080	ortholog_one2many
TMUE_3000010954	WBGene00009746	ortholog_one2many
TMUE_3000010954	WBGene00009751	ortholog_one2many
TMUE_3000010954	WBGene00009747	ortholog_one2many
TMUE_3000010954	WBGene00009748	ortholog_one2many
TMUE_3000010954	WBGene00018650	ortholog_one2many
TMUE_3000013130		
TMUE_3000010953	WBGene00010867	ortholog_one2one
TMUE_3000013129		
TMUE_3000010952		
TMUE_3000013128		
TMUE_3000010951	WBGene00017280	ortholog_one2one
TMUE_3000013127	WBGene00006941	ortholog_one2one
TMUE_2000006406	WBGene00004106	ortholog_many2many
TMUE_2000006406	WBGene00000803	ortholog_many2many
TMUE_2000006406	WBGene00010011	ortholog_many2many
TMUE_3000010950	WBGene00020181	ortholog_one2one
TMUE_3000013126	WBGene00018076	ortholog_one2one
TMUE_3000010947		
TMUE_3000013124	WBGene00011361	ortholog_many2many
TMUE_3000013123	WBGene00010846	ortholog_one2one
TMUE_3000010946	WBGene00001366	ortholog_one2one
TMUE_3000013122	WBGene00022675	ortholog_one2one
TMUE_3000010943		
TMUE_3000013121		
TMUE_3000010942		
TMUE_3000013120		
TMUE_3000013119		
TMUE_3000013118		
TMUE_3000010941		
TMUE_3000013117	WBGene00003949	ortholog_one2one
TMUE_3000013116	WBGene00008404	ortholog_one2many
TMUE_3000013116	WBGene00015955	ortholog_one2many
TMUE_3000010940	WBGene00000298	ortholog_one2one
TMUE_3000010939	WBGene00004413	ortholog_one2one
TMUE_3000010937	WBGene00007704	ortholog_one2one
TMUE_3000013115	WBGene00000159	ortholog_one2many
TMUE_3000010935		
TMUE_3000012836		
TMUE_3000013113	WBGene00016716	ortholog_one2one
TMUE_3000013112		
TMUE_3000010933		
TMUE_3000010932		
TMUE_3000010931	WBGene00013189	ortholog_one2one
TMUE_3000013111	WBGene00002039	ortholog_one2one
TMUE_3000010930	WBGene00010359	ortholog_one2one
TMUE_3000013110	WBGene00000958	ortholog_one2one
TMUE_3000010929	WBGene00001095	ortholog_one2one
TMUE_3000013109	WBGene00022718	ortholog_one2one
TMUE_3000010928		
TMUE_3000010927		
TMUE_3000010926		
TMUE_3000013108		
TMUE_3000013107	WBGene00009191	ortholog_one2one
TMUE_3000010925		
TMUE_3000010921		
TMUE_3000013104	WBGene00022309	ortholog_one2one
TMUE_3000013103		
TMUE_3000010920	WBGene00002178	ortholog_one2one
TMUE_3000013102	WBGene00007756	ortholog_one2one
TMUE_3000013101		
TMUE_3000010918	WBGene00009978	ortholog_one2one
TMUE_3000013100		
TMUE_3000010916		
TMUE_3000013099		
TMUE_3000013098		
TMUE_3000013097	WBGene00000454	ortholog_many2many
TMUE_3000010915		
TMUE_3000013096	WBGene00022350	ortholog_one2one
TMUE_3000013095	WBGene00013606	ortholog_one2one
TMUE_3000013094		
TMUE_3000010914	WBGene00020897	ortholog_one2one
TMUE_3000010913		
TMUE_3000010912		
TMUE_3000013093	WBGene00009668	ortholog_one2one
TMUE_3000010911	WBGene00007270	ortholog_one2many
TMUE_3000010911	WBGene00019365	ortholog_one2many
TMUE_3000010909		
TMUE_3000010908	WBGene00022378	ortholog_one2one
TMUE_3000013092	WBGene00018739	ortholog_one2one
TMUE_3000010907		
TMUE_3000010906		
TMUE_3000010905		
TMUE_1000003467		
TMUE_1000005220		
TMUE_1000005218		
TMUE_1000003466		
TMUE_1000005217		
TMUE_1000005216	WBGene00012366	ortholog_one2one
TMUE_1000003465	WBGene00013599	ortholog_one2one
TMUE_1000005215	WBGene00012980	ortholog_one2one
TMUE_1000005214		
TMUE_1000005213	WBGene00003622	ortholog_one2many
TMUE_1000003464		
TMUE_1000005212	WBGene00001047	ortholog_one2one
TMUE_1000003462		
TMUE_1000005211		
TMUE_1000003461		
TMUE_1000005210	WBGene00006577	ortholog_one2many
TMUE_1000005209	WBGene00003966	ortholog_one2one
TMUE_1000005208		
TMUE_1000005207	WBGene00007630	ortholog_one2one
TMUE_1000003460		
TMUE_1000003459	WBGene00019770	ortholog_one2one
TMUE_1000005206		
TMUE_1000005205	WBGene00001002	ortholog_one2one
TMUE_1000005204		
TMUE_1000003458	WBGene00003825	ortholog_one2one
TMUE_1000005203		
TMUE_1000003457		
TMUE_1000005202		
TMUE_1000003456	WBGene00018797	ortholog_one2one
TMUE_1000005200		
TMUE_1000003455	WBGene00013123	ortholog_one2many
TMUE_1000005199	WBGene00007564	ortholog_one2one
TMUE_1000005198		
TMUE_1000005197	WBGene00017858	ortholog_one2many
TMUE_1000005197	WBGene00017860	ortholog_one2many
TMUE_1000005196		
TMUE_1000003454	WBGene00015009	ortholog_one2one
TMUE_1000005195		
TMUE_1000003453	WBGene00020953	ortholog_one2one
TMUE_1000005193	WBGene00010416	ortholog_one2one
TMUE_1000005192	WBGene00011065	ortholog_one2one
TMUE_1000003451	WBGene00016331	ortholog_one2one
TMUE_1000003448		
TMUE_1000005191	WBGene00010697	ortholog_one2one
TMUE_1000003447	WBGene00044609	ortholog_one2one
TMUE_1000005190	WBGene00000502	ortholog_one2one
TMUE_1000005189		
TMUE_1000005188	WBGene00012033	ortholog_one2one
TMUE_1000003446		
TMUE_1000003445	WBGene00015889	ortholog_one2many
TMUE_1000003445	WBGene00015887	ortholog_one2many
TMUE_1000003444	WBGene00008431	ortholog_one2one
TMUE_1000003443	WBGene00001224	ortholog_one2one
TMUE_1000005187	WBGene00010889	ortholog_one2one
TMUE_1000005186		
TMUE_1000003442		
TMUE_1000005185	WBGene00015232	ortholog_one2one
TMUE_1000003441	WBGene00002234	ortholog_one2many
TMUE_1000003441	WBGene00002235	ortholog_one2many
TMUE_1000003440		
TMUE_1000003438		
TMUE_1000005184	WBGene00003678	ortholog_one2many
TMUE_1000005184	WBGene00003628	ortholog_one2many
TMUE_1000003437	WBGene00004880	ortholog_one2one
TMUE_1000003435	WBGene00021840	ortholog_one2one
TMUE_1000003434	WBGene00021209	ortholog_one2one
TMUE_1000003433		
TMUE_1000003432		
TMUE_1000003431	WBGene00020600	ortholog_one2many
TMUE_1000005182	WBGene00012203	ortholog_one2one
TMUE_1000003430	WBGene00022119	ortholog_one2one
TMUE_1000005181	WBGene00008259	ortholog_many2many
TMUE_1000005181	WBGene00017279	ortholog_many2many
TMUE_1000005181	WBGene00010082	ortholog_many2many
TMUE_1000005181	WBGene00009962	ortholog_many2many
TMUE_1000003429		
TMUE_1000005180	WBGene00011938	ortholog_one2one
TMUE_1000003428		
TMUE_1000005178		
TMUE_1000005177		
TMUE_1000005176		
TMUE_1000005175		
TMUE_1000005174	WBGene00010991	ortholog_one2one
TMUE_1000003426		
TMUE_1000003425		
TMUE_1000003424	WBGene00022880	ortholog_one2one
TMUE_1000005173	WBGene00016118	ortholog_one2one
TMUE_1000005172		
TMUE_1000003422		
TMUE_1000003421	WBGene00010891	ortholog_one2one
TMUE_1000003420		
TMUE_1000005171		
TMUE_1000005170		
TMUE_1000005169	WBGene00003172	ortholog_one2one
TMUE_1000005168		
TMUE_1000005167		
TMUE_1000005166		
TMUE_1000003417		
TMUE_1000005165		
TMUE_1000003416		
TMUE_1000003415		
TMUE_1000003414	WBGene00006923	ortholog_one2one
TMUE_1000003411		
TMUE_1000005161	WBGene00004889	ortholog_one2one
TMUE_1000003406	WBGene00006702	ortholog_one2one
TMUE_1000005160	WBGene00000933	ortholog_one2one
TMUE_1000003405		
TMUE_1000003404	WBGene00006752	ortholog_one2one
TMUE_1000005159	WBGene00021854	ortholog_one2many
TMUE_1000005157		
TMUE_1000005156	WBGene00022154	ortholog_one2one
TMUE_1000005155		
TMUE_1000003398		
TMUE_1000003397	WBGene00008225	ortholog_one2one
TMUE_1000005154		
TMUE_1000003395		
TMUE_1000005153		
TMUE_1000003394	WBGene00002977	ortholog_one2one
TMUE_1000005151		
TMUE_1000003393		
TMUE_1000005150	WBGene00020184	ortholog_one2one
TMUE_1000003391	WBGene00022743	ortholog_one2one
TMUE_1000003390	WBGene00018757	ortholog_one2one
TMUE_1000005149		
TMUE_1000003389		
TMUE_1000003388		
TMUE_1000003387	WBGene00020022	ortholog_one2one
TMUE_1000005148	WBGene00003246	ortholog_one2one
TMUE_1000005146	WBGene00013355	ortholog_one2one
TMUE_1000003385		
TMUE_1000005145		
TMUE_1000003384	WBGene00006709	ortholog_one2one
TMUE_1000005144	WBGene00008767	ortholog_one2one
TMUE_1000005143	WBGene00001614	ortholog_one2one
TMUE_1000003383		
TMUE_1000005142	WBGene00012289	ortholog_one2one
TMUE_1000003381	WBGene00002979	ortholog_one2one
TMUE_1000003380	WBGene00011696	ortholog_one2one
TMUE_1000003379		
TMUE_1000003378	WBGene00002219	ortholog_one2one
TMUE_1000005140	WBGene00017738	ortholog_one2one
TMUE_1000005139		
TMUE_1000003377		
TMUE_1000005137	WBGene00010134	ortholog_one2many
TMUE_1000005134	WBGene00006868	ortholog_one2one
TMUE_1000003373	WBGene00014115	ortholog_one2many
TMUE_1000003371	WBGene00010844	ortholog_one2one
TMUE_1000005133	WBGene00022171	ortholog_one2one
TMUE_1000005132	WBGene00016321	ortholog_one2one
TMUE_1000003369	WBGene00013135	ortholog_one2one
TMUE_1000003368	WBGene00003987	ortholog_many2many
TMUE_1000003368	WBGene00014127	ortholog_many2many
TMUE_1000003368	WBGene00008110	ortholog_many2many
TMUE_1000003368	WBGene00008923	ortholog_many2many
TMUE_1000005131		
TMUE_1000003367		
TMUE_1000005129		
TMUE_1000005127	WBGene00016608	ortholog_one2one
TMUE_1000003366		
TMUE_1000005125		
TMUE_1000005124	WBGene00000778	ortholog_one2one
TMUE_1000005123		
TMUE_1000005122	WBGene00007054	ortholog_one2one
TMUE_1000003365	WBGene00000230	ortholog_one2one
TMUE_1000005121	WBGene00010565	ortholog_one2one
TMUE_1000003364	WBGene00022233	ortholog_one2one
TMUE_1000003363	WBGene00004916	ortholog_one2many
TMUE_1000003363	WBGene00044916	ortholog_one2many
TMUE_0000001945		
TMUE_3000014674		
TMUE_3000014673	WBGene00001935	ortholog_many2many
TMUE_3000014673	WBGene00001942	ortholog_many2many
TMUE_3000014673	WBGene00001921	ortholog_many2many
TMUE_3000014673	WBGene00001886	ortholog_many2many
TMUE_3000014673	WBGene00001890	ortholog_many2many
TMUE_3000014673	WBGene00001881	ortholog_many2many
TMUE_3000014673	WBGene00001904	ortholog_many2many
TMUE_3000014673	WBGene00001895	ortholog_many2many
TMUE_3000014673	WBGene00001939	ortholog_many2many
TMUE_3000014673	WBGene00001909	ortholog_many2many
TMUE_3000014673	WBGene00001877	ortholog_many2many
TMUE_3000014673	WBGene00001927	ortholog_many2many
TMUE_3000014673	WBGene00001893	ortholog_many2many
TMUE_3000014673	WBGene00001931	ortholog_many2many
TMUE_3000014673	WBGene00001907	ortholog_many2many
TMUE_3000014673	WBGene00001917	ortholog_many2many
TMUE_3000014673	WBGene00001925	ortholog_many2many
TMUE_3000012523		
TMUE_3000014672		
TMUE_3000012522		
TMUE_3000012521	WBGene00021417	ortholog_one2one
TMUE_3000014671		
TMUE_2000009295		
TMUE_2000008897	WBGene00015525	ortholog_one2one
TMUE_2000006567	WBGene00000423	ortholog_one2one
TMUE_2000008898	WBGene00021170	ortholog_one2one
TMUE_2000006568		
TMUE_2000008899		
TMUE_2000008901		
TMUE_2000008902	WBGene00004460	ortholog_one2one
TMUE_2000006569		
TMUE_2000008904	WBGene00004456	ortholog_one2one
TMUE_2000008905		
TMUE_3000012837		
TMUE_2000008910		
TMUE_2000008911	WBGene00001209	ortholog_one2one
TMUE_2000006571		
TMUE_2000006572		
TMUE_2000008912		
TMUE_2000006573		
TMUE_2000006574		
TMUE_2000006575		
TMUE_2000008914		
TMUE_2000008915		
TMUE_2000006579		
TMUE_2000008916	WBGene00016171	ortholog_one2many
TMUE_2000008917	WBGene00018679	ortholog_one2one
TMUE_2000006580	WBGene00004774	ortholog_one2one
TMUE_2000008918		
TMUE_2000008919	WBGene00021938	ortholog_one2one
TMUE_2000006581	WBGene00011216	ortholog_one2one
TMUE_2000008920	WBGene00019679	ortholog_one2one
TMUE_2000006582		
TMUE_2000008922		
TMUE_2000006583	WBGene00006749	ortholog_one2one
TMUE_2000008923		
TMUE_2000006584	WBGene00013237	ortholog_one2one
TMUE_2000008924	WBGene00014213	ortholog_one2one
TMUE_2000006585		
TMUE_2000006586		
TMUE_2000006587	WBGene00006596	ortholog_one2one
TMUE_2000006588		
TMUE_2000008925	WBGene00000295	ortholog_one2one
TMUE_2000006589		
TMUE_2000008926	WBGene00001773	ortholog_many2many
TMUE_2000008926	WBGene00001771	ortholog_many2many
TMUE_2000008926	WBGene00001749	ortholog_many2many
TMUE_2000008927		
TMUE_0000001086		
TMUE_2000006590		
TMUE_2000008928		
TMUE_2000008929		
TMUE_2000008930		
TMUE_2000006591		
TMUE_2000008931		
TMUE_2000006592		
TMUE_2000006593		
TMUE_2000006594		
TMUE_2000008933		
TMUE_2000008934		
TMUE_2000008935		
TMUE_2000006596		
TMUE_2000008937		
TMUE_2000008938		
TMUE_2000006597	WBGene00003596	ortholog_one2many
TMUE_2000008940	WBGene00003796	ortholog_one2one
TMUE_2000006598	WBGene00008364	ortholog_one2one
TMUE_2000006599	WBGene00012927	ortholog_one2one
TMUE_2000008941	WBGene00000198	ortholog_one2one
TMUE_2000006600	WBGene00014066	ortholog_one2one
TMUE_2000008943	WBGene00019607	ortholog_one2one
TMUE_2000008945		
TMUE_2000008946	WBGene00003858	ortholog_one2one
TMUE_2000008947		
TMUE_2000006602		
TMUE_2000008948		
TMUE_2000008950		
TMUE_2000006604		
TMUE_2000006605	WBGene00004255	ortholog_one2one
TMUE_2000008954	WBGene00019401	ortholog_one2one
TMUE_2000006606	WBGene00010809	ortholog_one2one
TMUE_2000008955	WBGene00004088	ortholog_one2one
TMUE_2000006608		
TMUE_2000008956	WBGene00004490	ortholog_one2one
TMUE_2000008957		
TMUE_2000006610	WBGene00012097	ortholog_one2one
TMUE_2000008958		
TMUE_2000006613	WBGene00022473	ortholog_one2one
TMUE_2000006615		
TMUE_2000006616		
TMUE_2000006617	WBGene00004256	ortholog_one2many
TMUE_2000006617	WBGene00004257	ortholog_one2many
TMUE_2000008962	WBGene00020146	ortholog_one2one
TMUE_2000006618		
TMUE_2000006619		
TMUE_2000008963		
TMUE_2000008964		
TMUE_2000006620		
TMUE_2000006624		
TMUE_2000008965	WBGene00006386	ortholog_one2many
TMUE_2000008966		
TMUE_3000010725		
TMUE_3000012843	WBGene00018175	ortholog_one2one
TMUE_3000010726	WBGene00003247	ortholog_one2one
TMUE_3000012844	WBGene00010296	ortholog_many2many
TMUE_3000012844	WBGene00019464	ortholog_many2many
TMUE_3000012844	WBGene00021818	ortholog_many2many
TMUE_3000012844	WBGene00020910	ortholog_many2many
TMUE_3000012846	WBGene00017967	ortholog_one2one
TMUE_3000010727	WBGene00017084	ortholog_one2one
TMUE_3000012849	WBGene00007372	ortholog_one2one
TMUE_3000012851		
TMUE_3000010728		
TMUE_3000010729		
TMUE_3000010730	WBGene00019801	ortholog_many2many
TMUE_3000012853	WBGene00018398	ortholog_one2one
TMUE_3000010732	WBGene00013354	ortholog_one2one
TMUE_3000012854		
TMUE_3000010733	WBGene00022122	ortholog_one2many
TMUE_3000010735		
TMUE_3000010736		
TMUE_3000012856		
TMUE_3000010737		
TMUE_3000010738		
TMUE_3000010739		
TMUE_3000010740		
TMUE_3000010741	WBGene00007588	ortholog_one2one
TMUE_3000012859		
TMUE_3000010742	WBGene00008765	ortholog_one2one
TMUE_3000012860	WBGene00011480	ortholog_one2one
TMUE_3000010743	WBGene00011481	ortholog_one2one
TMUE_3000012861	WBGene00001558	ortholog_one2one
TMUE_3000010744		
TMUE_3000012862	WBGene00001006	ortholog_one2one
TMUE_3000012864	WBGene00013434	ortholog_one2many
TMUE_3000010745		
TMUE_3000012867		
TMUE_3000010746	WBGene00014222	ortholog_one2many
TMUE_3000012870	WBGene00003991	ortholog_one2many
TMUE_3000010749	WBGene00018417	ortholog_one2one
TMUE_3000012871	WBGene00018138	ortholog_one2many
TMUE_3000012871	WBGene00044738	ortholog_one2many
TMUE_3000010751	WBGene00016156	ortholog_one2many
TMUE_3000010751	WBGene00016158	ortholog_one2many
TMUE_3000010751	WBGene00015924	ortholog_one2many
TMUE_3000010751	WBGene00013538	ortholog_one2many
TMUE_3000010751	WBGene00016157	ortholog_one2many
TMUE_3000012872	WBGene00001123	ortholog_one2one
TMUE_3000012874	WBGene00002696	ortholog_one2one
TMUE_2000007798	WBGene00005021	ortholog_one2one
TMUE_2000006932		
TMUE_2000009300	WBGene00018358	ortholog_many2many
TMUE_2000009300	WBGene00007284	ortholog_many2many
TMUE_2000009300	WBGene00014807	ortholog_many2many
TMUE_2000009300	WBGene00003962	ortholog_many2many
TMUE_2000009301		
TMUE_2000006933		
TMUE_2000006935	WBGene00021910	ortholog_one2one
TMUE_2000009303	WBGene00000207	ortholog_one2many
TMUE_2000009303	WBGene00000206	ortholog_one2many
TMUE_2000006936		
TMUE_2000009304		
TMUE_2000006937	WBGene00017304	ortholog_one2many
TMUE_2000009305		
TMUE_2000009307	WBGene00004510	ortholog_one2many
TMUE_2000009308	WBGene00003818	ortholog_one2one
TMUE_2000009309		
TMUE_2000006941		
TMUE_2000006942	WBGene00013962	ortholog_one2one
TMUE_2000009310		
TMUE_2000006943		
TMUE_2000009311	WBGene00019227	ortholog_one2one
TMUE_2000009312	WBGene00013209	ortholog_one2one
TMUE_2000009313	WBGene00006520	ortholog_one2one
TMUE_2000006944	WBGene00009189	ortholog_one2one
TMUE_2000007356		
TMUE_2000009768	WBGene00014224	ortholog_one2one
TMUE_2000009769	WBGene00000051	ortholog_one2one
TMUE_2000009772		
TMUE_2000007357	WBGene00003925	ortholog_one2one
TMUE_2000009773		
TMUE_2000007359	WBGene00016600	ortholog_one2one
TMUE_2000009774	WBGene00018270	ortholog_one2one
TMUE_2000009775	WBGene00000935	ortholog_one2one
TMUE_2000009776	WBGene00017421	ortholog_one2one
TMUE_2000007361		
TMUE_2000009777	WBGene00021396	ortholog_one2one
TMUE_2000007362		
TMUE_2000009778		
TMUE_2000009780	WBGene00011032	ortholog_one2one
TMUE_2000009781		
TMUE_0000001759		
TMUE_2000009783		
TMUE_2000007365		
TMUE_2000007366	WBGene00009353	ortholog_one2one
TMUE_2000009784	WBGene00015360	ortholog_one2many
TMUE_2000009784	WBGene00018426	ortholog_one2many
TMUE_2000009784	WBGene00013492	ortholog_one2many
TMUE_2000007367	WBGene00004340	ortholog_one2one
TMUE_2000009786		
TMUE_2000009787		
TMUE_2000007370	WBGene00007694	ortholog_many2many
TMUE_2000007370	WBGene00010056	ortholog_many2many
TMUE_2000009792		
TMUE_2000007371		
TMUE_2000007372		
TMUE_2000007374		
TMUE_2000009793		
TMUE_2000007375		
TMUE_2000007376		
TMUE_2000007377		
TMUE_2000009794		
TMUE_2000009795		
TMUE_2000009797		
TMUE_2000007378		
TMUE_2000007379		
TMUE_2000007381		
TMUE_2000009799		
TMUE_2000009800		
TMUE_2000007383		
TMUE_2000007384	WBGene00000510	ortholog_one2many
TMUE_2000009801	WBGene00018423	ortholog_one2one
TMUE_2000007385	WBGene00004338	ortholog_one2one
TMUE_2000009802	WBGene00010845	ortholog_one2one
TMUE_2000007386	WBGene00003598	ortholog_one2one
TMUE_2000009803	WBGene00000428	ortholog_one2one
TMUE_2000007387		
TMUE_2000007388		
TMUE_2000009804		
TMUE_2000009805		
TMUE_2000007389		
TMUE_2000009806	WBGene00013269	ortholog_one2one
TMUE_2000007390	WBGene00019867	ortholog_one2one
TMUE_2000007391	WBGene00003978	ortholog_one2one
TMUE_2000007392	WBGene00011740	ortholog_one2one
TMUE_2000009807	WBGene00017044	ortholog_one2one
TMUE_2000009808	WBGene00014228	ortholog_one2one
TMUE_2000009809	WBGene00012867	ortholog_one2one
TMUE_2000007393	WBGene00001234	ortholog_one2one
TMUE_2000007394	WBGene00000226	ortholog_many2many
TMUE_2000007398		
TMUE_2000009811	WBGene00000369	ortholog_one2many
TMUE_2000007399	WBGene00003368	ortholog_one2many
TMUE_2000007399	WBGene00012162	ortholog_one2many
TMUE_2000009812	WBGene00019246	ortholog_one2one
TMUE_2000007400		
TMUE_2000007403		
TMUE_2000007404		
TMUE_2000009813		
TMUE_2000007405	WBGene00007925	ortholog_one2many
TMUE_2000007408	WBGene00001981	ortholog_many2many
TMUE_2000007408	WBGene00001953	ortholog_many2many
TMUE_2000009816		
TMUE_2000007409		
TMUE_2000009818	WBGene00003158	ortholog_one2many
