Gene name	Brugia malayi (PRJNA10729) [WS285] protein stable ID	Homology type
TMUE_3000011009		
TMUE_3000013191		
TMUE_3000013190		
TMUE_3000011007	Bm6566a.1	ortholog_one2one
TMUE_3000011006	Bm13652.1	ortholog_one2many
TMUE_3000011005	Bm9429.1	ortholog_one2one
TMUE_3000013189		
TMUE_3000011004		
TMUE_3000013187	Bm4704.1	ortholog_one2one
TMUE_3000013186	Bm4201d.1	ortholog_one2one
TMUE_3000013185		
TMUE_3000013181	Bm2438b.1	ortholog_one2one
TMUE_3000011002	Bm13841.1	ortholog_one2many
TMUE_3000011001		
TMUE_3000013179		
TMUE_3000011000	Bm7037a.1	ortholog_one2one
TMUE_3000013178	Bm2233.1	ortholog_one2one
TMUE_3000010998	Bm17775.1	ortholog_one2one
TMUE_3000010997	Bm4871a.1	ortholog_one2one
TMUE_3000010996	Bm3723b.1	ortholog_one2one
TMUE_3000013176		
TMUE_3000013175		
TMUE_3000013174		
TMUE_3000013172		
TMUE_3000013170	Bm10918a.1	ortholog_one2one
TMUE_3000010995	Bm8361c.1	ortholog_one2one
TMUE_3000013169	Bm4030.1	ortholog_one2one
TMUE_3000013166	Bm7466b.1	ortholog_one2one
TMUE_3000010991		
TMUE_3000010990	Bm18203.2	ortholog_one2one
TMUE_3000010989	Bm8657.1	ortholog_one2one
TMUE_3000013165		
TMUE_3000010988		
TMUE_3000013164		
TMUE_3000010987	Bm5228.2	ortholog_many2many
TMUE_3000010987	Bm5316a.1	ortholog_many2many
TMUE_3000010986	Bm3408.1	ortholog_one2one
TMUE_3000010985		
TMUE_3000010984	Bm5925.1	ortholog_one2one
TMUE_3000013160		
TMUE_3000013158		
TMUE_3000013157	Bm4774.1	ortholog_one2one
TMUE_3000010981		
TMUE_3000013155		
TMUE_3000010979	Bm5077.1	ortholog_one2many
TMUE_3000013154	Bm3169e.1	ortholog_one2one
TMUE_3000010978	Bm2985a.1	ortholog_one2one
TMUE_3000013153	Bm6903a.1	ortholog_one2one
TMUE_3000013152		
TMUE_3000010976	Bm6288.1	ortholog_one2one
TMUE_3000010975	Bm14019.1	ortholog_one2one
TMUE_3000013150	Bm9552a.1	ortholog_one2one
TMUE_3000013149	Bm9787.1	ortholog_one2one
TMUE_3000010972		
TMUE_3000013147	Bm3743.1	ortholog_one2one
TMUE_3000010971	Bm4903a.1	ortholog_one2one
TMUE_3000013146		
TMUE_3000010969		
TMUE_3000010968	Bm4400.1	ortholog_one2one
TMUE_3000013145	Bm4399a.1	ortholog_one2one
TMUE_3000010967		
TMUE_3000010966	Bm9032.1	ortholog_many2many
TMUE_3000010966	Bm12299.1	ortholog_many2many
TMUE_3000010966	Bm11446a.1	ortholog_many2many
TMUE_3000010966	Bm17238.1	ortholog_many2many
TMUE_3000010966	Bm2299b.1	ortholog_many2many
TMUE_3000010966	Bm8269.1	ortholog_many2many
TMUE_3000013143	Bm11320a.1	ortholog_one2one
TMUE_3000010964		
TMUE_3000013142		
TMUE_3000010963	Bm3807a.1	ortholog_one2one
TMUE_3000010962	Bm8591.1	ortholog_one2one
TMUE_3000013141	Bm6299a.1	ortholog_one2one
TMUE_3000013140	Bm6853.1	ortholog_one2one
TMUE_3000010961	Bm7493.1	ortholog_one2one
TMUE_3000013139		
TMUE_3000013136		
TMUE_3000013134		
TMUE_3000010960		
TMUE_3000013131		
TMUE_3000010957		
TMUE_3000010955		
TMUE_3000010954	Bm3068a.1	ortholog_one2one
TMUE_3000013130		
TMUE_3000010953	Bm5098.1	ortholog_one2one
TMUE_3000013129		
TMUE_3000010952		
TMUE_3000013128		
TMUE_3000010951	Bm3220.1	ortholog_one2one
TMUE_3000013127	Bm2789b.1	ortholog_one2one
TMUE_2000006406		
TMUE_3000010950	Bm496.1	ortholog_one2one
TMUE_3000013126	Bm3857a.1	ortholog_one2one
TMUE_3000010947		
TMUE_3000013124	Bm9505.1	ortholog_one2one
TMUE_3000013123		
TMUE_3000010946	Bm2534.1	ortholog_one2one
TMUE_3000013122	Bm7432a.1	ortholog_one2one
TMUE_3000010943		
TMUE_3000013121		
TMUE_3000010942		
TMUE_3000013120		
TMUE_3000013119		
TMUE_3000013118		
TMUE_3000010941		
TMUE_3000013117	Bm13672a.1	ortholog_one2one
TMUE_3000013116	Bm18192.1	ortholog_one2one
TMUE_3000010940	Bm3774.1	ortholog_one2one
TMUE_3000010939	Bm13941b.1	ortholog_one2one
TMUE_3000010937	Bm18585.1	ortholog_one2one
TMUE_3000013115	Bm13787.1	ortholog_one2many
TMUE_3000010935		
TMUE_3000012836		
TMUE_3000013113		
TMUE_3000013112		
TMUE_3000010933		
TMUE_3000010932		
TMUE_3000010931	Bm13792.1	ortholog_one2one
TMUE_3000013111	Bm5723a.1	ortholog_one2one
TMUE_3000010930		
TMUE_3000013110	Bm2100.1	ortholog_one2one
TMUE_3000010929	Bm15491.1	ortholog_one2one
TMUE_3000013109	Bm7461a.1	ortholog_one2one
TMUE_3000010928		
TMUE_3000010927		
TMUE_3000010926		
TMUE_3000013108		
TMUE_3000013107	Bm3653.1	ortholog_one2one
TMUE_3000010925		
TMUE_3000010921	Bm2425.2	ortholog_one2one
TMUE_3000013104	Bm13996.1	ortholog_one2one
TMUE_3000013103		
TMUE_3000010920	Bm1820d.1	ortholog_one2one
TMUE_3000013102	Bm2421a.1	ortholog_one2one
TMUE_3000013101		
TMUE_3000010918	Bm4304.1	ortholog_one2many
TMUE_3000010918	Bm9487.1	ortholog_one2many
TMUE_3000010918	Bm8431a.1	ortholog_one2many
TMUE_3000010918	Bm11549.1	ortholog_one2many
TMUE_3000013100		
TMUE_3000010916		
TMUE_3000013099		
TMUE_3000013098		
TMUE_3000013097		
TMUE_3000010915		
TMUE_3000013096	Bm7168.1	ortholog_one2one
TMUE_3000013095	Bm7212.1	ortholog_one2one
TMUE_3000013094		
TMUE_3000010914	Bm6071.1	ortholog_one2one
TMUE_3000010913		
TMUE_3000010912		
TMUE_3000013093	Bm10936a.1	ortholog_one2many
TMUE_3000013093	Bm4067a.1	ortholog_one2many
TMUE_3000010911	Bm4790.1	ortholog_one2one
TMUE_3000010909		
TMUE_3000010908	Bm7196.1	ortholog_one2one
TMUE_3000013092	Bm4289.1	ortholog_one2one
TMUE_3000010907		
TMUE_3000010906		
TMUE_3000010905		
TMUE_1000003467		
TMUE_1000005220		
TMUE_1000005218	Bm5318a.1	ortholog_one2one
TMUE_1000003466		
TMUE_1000005217		
TMUE_1000005216	Bm6259a.1	ortholog_one2one
TMUE_1000003465	Bm7175.1	ortholog_one2one
TMUE_1000005215	Bm6638.1	ortholog_one2one
TMUE_1000005214		
TMUE_1000005213	Bm1896b.1	ortholog_one2many
TMUE_1000003464		
TMUE_1000005212	Bm6961.3	ortholog_one2one
TMUE_1000003462		
TMUE_1000005211		
TMUE_1000003461		
TMUE_1000005210	Bm3947.1	ortholog_one2many
TMUE_1000005209	Bm2439.1	ortholog_one2one
TMUE_1000005208	Bm3609.1	ortholog_one2one
TMUE_1000005207	Bm1462.1	ortholog_one2one
TMUE_1000003460		
TMUE_1000003459		
TMUE_1000005206	Bm9586.1	ortholog_one2one
TMUE_1000005205	Bm12036b.1	ortholog_one2one
TMUE_1000005204		
TMUE_1000003458	Bm8378.1	ortholog_one2many
TMUE_1000003458	Bm1741a.1	ortholog_one2many
TMUE_1000005203		
TMUE_1000003457		
TMUE_1000005202		
TMUE_1000003456	Bm10269.1	ortholog_one2many
TMUE_1000003456	Bm4363.1	ortholog_one2many
TMUE_1000005200		
TMUE_1000003455	Bm6737a.1	ortholog_one2many
TMUE_1000005199	Bm2188.1	ortholog_one2one
TMUE_1000005198		
TMUE_1000005197	Bm3646a.1	ortholog_one2one
TMUE_1000005196		
TMUE_1000003454		
TMUE_1000005195	Bm5683b.1	ortholog_one2one
TMUE_1000003453	Bm6146a.1	ortholog_one2one
TMUE_1000005193	Bm4678.1	ortholog_one2one
TMUE_1000005192	Bm5251.1	ortholog_one2one
TMUE_1000003451	Bm2522.1	ortholog_one2one
TMUE_1000003448		
TMUE_1000005191		
TMUE_1000003447	Bm7080.1	ortholog_one2one
TMUE_1000005190		
TMUE_1000005189		
TMUE_1000005188	Bm6024.1	ortholog_one2one
TMUE_1000003446		
TMUE_1000003445		
TMUE_1000003444	Bm3057a.1	ortholog_one2one
TMUE_1000003443	Bm7644.1	ortholog_one2one
TMUE_1000005187	Bm5113a.1	ortholog_one2one
TMUE_1000005186		
TMUE_1000003442		
TMUE_1000005185	Bm1838a.1	ortholog_one2one
TMUE_1000003441		
TMUE_1000003440		
TMUE_1000003438		
TMUE_1000005184	Bm4894a.1	ortholog_one2many
TMUE_1000005184	Bm11625.1	ortholog_one2many
TMUE_1000003437	Bm6673.1	ortholog_one2one
TMUE_1000003435	Bm6800a.1	ortholog_one2one
TMUE_1000003434	Bm6321a.1	ortholog_one2one
TMUE_1000003433		
TMUE_1000003432		
TMUE_1000003431	Bm6871.1	ortholog_one2many
TMUE_1000005182	Bm6125.1	ortholog_one2one
TMUE_1000003430	Bm13692.1	ortholog_one2one
TMUE_1000005181	Bm3219.1	ortholog_many2many
TMUE_1000003429		
TMUE_1000005180		
TMUE_1000003428		
TMUE_1000005178		
TMUE_1000005177		
TMUE_1000005176		
TMUE_1000005175		
TMUE_1000005174		
TMUE_1000003426	Bm9769.1	ortholog_one2one
TMUE_1000003425		
TMUE_1000003424	Bm7645.1	ortholog_one2one
TMUE_1000005173	Bm2385.1	ortholog_one2one
TMUE_1000005172		
TMUE_1000003422		
TMUE_1000003421	Bm5115.1	ortholog_one2one
TMUE_1000003420		
TMUE_1000005171		
TMUE_1000005170		
TMUE_1000005169	Bm4131a.1	ortholog_one2one
TMUE_1000005168		
TMUE_1000005167		
TMUE_1000005166	Bm9252.1	ortholog_one2one
TMUE_1000003417		
TMUE_1000005165		
TMUE_1000003416		
TMUE_1000003415		
TMUE_1000003414	Bm3177a.1	ortholog_one2one
TMUE_1000003411		
TMUE_1000005161	Bm10746.1	ortholog_one2one
TMUE_1000003406	Bm7058.1	ortholog_one2one
TMUE_1000005160	Bm2181a.1	ortholog_one2one
TMUE_1000003405		
TMUE_1000003404	Bm7972.1	ortholog_one2one
TMUE_1000005159	Bm6815a.1	ortholog_one2many
TMUE_1000005157		
TMUE_1000005156	Bm7059.1	ortholog_one2one
TMUE_1000005155		
TMUE_1000003398	Bm9277.1	ortholog_one2one
TMUE_1000003397	Bm2856.1	ortholog_one2one
TMUE_1000005154		
TMUE_1000003395		
TMUE_1000005153		
TMUE_1000003394	Bm7234.1	ortholog_one2one
TMUE_1000005151		
TMUE_1000003393		
TMUE_1000005150	Bm5506.1	ortholog_one2one
TMUE_1000003391	Bm7474.1	ortholog_one2one
TMUE_1000003390	Bm8817a.1	ortholog_one2one
TMUE_1000005149		
TMUE_1000003389	Bm14109.1	ortholog_one2one
TMUE_1000003388	Bm12493.1	ortholog_many2many
TMUE_1000003388	Bm4031.1	ortholog_many2many
TMUE_1000003387		
TMUE_1000005148	Bm5244.1	ortholog_one2one
TMUE_1000005146	Bm6934.1	ortholog_one2one
TMUE_1000003385		
TMUE_1000005145		
TMUE_1000003384	Bm7174.1	ortholog_one2one
TMUE_1000005144	Bm3352.1	ortholog_one2one
TMUE_1000005143		
TMUE_1000003383		
TMUE_1000005142	Bm6200a.1	ortholog_one2one
TMUE_1000003381	Bm2801a.1	ortholog_one2one
TMUE_1000003380	Bm5719.1	ortholog_one2one
TMUE_1000003379		
TMUE_1000003378	Bm5002.1	ortholog_one2one
TMUE_1000005140		
TMUE_1000005139		
TMUE_1000003377		
TMUE_1000005137		
TMUE_1000005134		
TMUE_1000003373	Bm7570.1	ortholog_one2many
TMUE_1000003371	Bm5081a.1	ortholog_one2one
TMUE_1000005133	Bm13973.1	ortholog_one2one
TMUE_1000005132	Bm2512.1	ortholog_one2one
TMUE_1000003369	Bm6744a.1	ortholog_one2one
TMUE_1000003368		
TMUE_1000005131		
TMUE_1000003367		
TMUE_1000005129		
TMUE_1000005127		
TMUE_1000003366		
TMUE_1000005125		
TMUE_1000005124		
TMUE_1000005123		
TMUE_1000005122	Bm1782a.1	ortholog_one2one
TMUE_1000003365	Bm13885.1	ortholog_one2one
TMUE_1000005121	Bm11981.1	ortholog_one2one
TMUE_1000003364	Bm7094.1	ortholog_one2one
TMUE_1000003363	Bm14062a.1	ortholog_one2one
TMUE_0000001945		
TMUE_3000014674		
TMUE_3000014673	Bm2877.1	ortholog_many2many
TMUE_3000014673	Bm7650.1	ortholog_many2many
TMUE_3000014673	Bm9762.1	ortholog_many2many
TMUE_3000012523		
TMUE_3000014672		
TMUE_3000012522		
TMUE_3000012521	Bm13335a.1	ortholog_one2one
TMUE_3000014671		
TMUE_2000009295		
TMUE_2000008897	Bm2013.1	ortholog_one2one
TMUE_2000006567		
TMUE_2000008898	Bm6289b.1	ortholog_one2one
TMUE_2000006568		
TMUE_2000008899	Bm9180.1	ortholog_one2many
TMUE_2000008901		
TMUE_2000008902	Bm2483.1	ortholog_one2one
TMUE_2000006569		
TMUE_2000008904	Bm13720.1	ortholog_one2one
TMUE_2000008905		
TMUE_3000012837		
TMUE_2000008910	Bm7727.1	ortholog_one2one
TMUE_2000008911	Bm2433.1	ortholog_one2one
TMUE_2000006571		
TMUE_2000006572		
TMUE_2000008912		
TMUE_2000006573		
TMUE_2000006574		
TMUE_2000006575	Bm9380.1	ortholog_one2many
TMUE_2000006575	Bm10856b.1	ortholog_one2many
TMUE_2000008914		
TMUE_2000008915		
TMUE_2000006579		
TMUE_2000008916	Bm2437b.1	ortholog_one2many
TMUE_2000008917	Bm4252.1	ortholog_one2one
TMUE_2000006580	Bm2205.1	ortholog_one2one
TMUE_2000008918	Bm7829.1	ortholog_one2one
TMUE_2000008919	Bm6864.1	ortholog_one2one
TMUE_2000006581	Bm5328.1	ortholog_one2one
TMUE_2000008920	Bm14054a.1	ortholog_one2one
TMUE_2000006582		
TMUE_2000008922		
TMUE_2000006583	Bm5371.1	ortholog_one2one
TMUE_2000008923		
TMUE_2000006584	Bm14732.1	ortholog_one2one
TMUE_2000008924	Bm7619.1	ortholog_one2one
TMUE_2000006585		
TMUE_2000006586		
TMUE_2000006587	Bm12066.1	ortholog_one2one
TMUE_2000006588		
TMUE_2000008925	Bm4975.1	ortholog_one2one
TMUE_2000006589		
TMUE_2000008926	Bm5414a.1	ortholog_one2many
TMUE_2000008927		
TMUE_0000001086		
TMUE_2000006590		
TMUE_2000008928		
TMUE_2000008929	Bm9180.1	ortholog_one2many
TMUE_2000008930		
TMUE_2000006591		
TMUE_2000008931		
TMUE_2000006592		
TMUE_2000006593		
TMUE_2000006594		
TMUE_2000008933		
TMUE_2000008934	Bm10313.1	ortholog_many2many
TMUE_2000008934	Bm10162.1	ortholog_many2many
TMUE_2000008935		
TMUE_2000006596		
TMUE_2000008937		
TMUE_2000008938		
TMUE_2000006597	Bm5829a.1	ortholog_one2many
TMUE_2000008940	Bm14684.1	ortholog_one2one
TMUE_2000006598	Bm3015.1	ortholog_one2one
TMUE_2000006599	Bm6596.1	ortholog_one2one
TMUE_2000008941	Bm2223b.1	ortholog_one2one
TMUE_2000006600	Bm7529.1	ortholog_one2one
TMUE_2000008943	Bm4967.1	ortholog_one2one
TMUE_2000008945		
TMUE_2000008946	Bm4815c.1	ortholog_one2one
TMUE_2000008947		
TMUE_2000006602	Bm8678.1	ortholog_one2many
TMUE_2000008948		
TMUE_2000008950		
TMUE_2000006604		
TMUE_2000006605	Bm5869.1	ortholog_one2one
TMUE_2000008954	Bm4816.1	ortholog_one2one
TMUE_2000006606	Bm5051.1	ortholog_one2one
TMUE_2000008955	Bm6682.1	ortholog_one2one
TMUE_2000006608		
TMUE_2000008956	Bm3895a.1	ortholog_one2one
TMUE_2000008957		
TMUE_2000006610	Bm13785.1	ortholog_one2one
TMUE_2000008958	Bm7425a.1	ortholog_one2one
TMUE_2000006613	Bm3642a.1	ortholog_one2one
TMUE_2000006615		
TMUE_2000006616		
TMUE_2000006617	Bm11012.1	ortholog_one2many
TMUE_2000006617	Bm7605.1	ortholog_one2many
TMUE_2000008962	Bm5467.1	ortholog_one2one
TMUE_2000006618	Bm9882.1	ortholog_many2many
TMUE_2000006619		
TMUE_2000008963		
TMUE_2000008964		
TMUE_2000006620		
TMUE_2000006624		
TMUE_2000008965	Bm3710.1	ortholog_one2many
TMUE_2000008966		
TMUE_3000010725		
TMUE_3000012843	Bm3911.1	ortholog_one2one
TMUE_3000010726	Bm7400a.1	ortholog_one2one
TMUE_3000012844	Bm6773.1	ortholog_one2many
TMUE_3000012846	Bm3737.1	ortholog_one2one
TMUE_3000010727	Bm3077.1	ortholog_one2one
TMUE_3000012849	Bm8308a.1	ortholog_one2one
TMUE_3000012851		
TMUE_3000010728		
TMUE_3000010729		
TMUE_3000010730		
TMUE_3000012853	Bm4074.1	ortholog_one2one
TMUE_3000010732	Bm6933.1	ortholog_one2one
TMUE_3000012854		
TMUE_3000010733	Bm7040.1	ortholog_one2many
TMUE_3000010735		
TMUE_3000010736		
TMUE_3000012856		
TMUE_3000010737		
TMUE_3000010738		
TMUE_3000010739		
TMUE_3000010740		
TMUE_3000010741	Bm2201.1	ortholog_one2many
TMUE_3000010741	Bm18212.1	ortholog_one2many
TMUE_3000012859		
TMUE_3000010742	Bm11145.2	ortholog_one2one
TMUE_3000012860	Bm5584a.1	ortholog_one2one
TMUE_3000010743	Bm5586.1	ortholog_one2one
TMUE_3000012861	Bm13848.1	ortholog_one2one
TMUE_3000010744		
TMUE_3000012862	Bm2372.1	ortholog_one2one
TMUE_3000012864	Bm6980a.1	ortholog_one2many
TMUE_3000010745		
TMUE_3000012867		
TMUE_3000010746	Bm14050a.1	ortholog_one2many
TMUE_3000012870	Bm18059.1	ortholog_one2many
TMUE_3000010749	Bm4084.1	ortholog_one2one
TMUE_3000012871	Bm8957a.1	ortholog_one2many
TMUE_3000012871	Bm8328.1	ortholog_one2many
TMUE_3000010751	Bm2423.1	ortholog_one2one
TMUE_3000012872	Bm2714a.1	ortholog_one2one
TMUE_3000012874	Bm3080.1	ortholog_one2one
TMUE_2000007798	Bm5329.1	ortholog_one2one
TMUE_2000006932		
TMUE_2000009300	Bm8934.1	ortholog_one2many
TMUE_2000009300	Bm13679.1	ortholog_one2many
TMUE_2000009301		
TMUE_2000006933		
TMUE_2000006935	Bm6841c.1	ortholog_one2one
TMUE_2000009303	Bm3150a.1	ortholog_one2one
TMUE_2000006936		
TMUE_2000009304		
TMUE_2000006937	Bm3238.1	ortholog_one2many
TMUE_2000009305		
TMUE_2000009307	Bm3254b.1	ortholog_one2many
TMUE_2000009308	Bm2401.1	ortholog_one2many
TMUE_2000009308	Bm13759a.1	ortholog_one2many
TMUE_2000009309	Bm8323a.1	ortholog_one2one
TMUE_2000006941		
TMUE_2000006942	Bm7444.1	ortholog_one2one
TMUE_2000009310		
TMUE_2000006943		
TMUE_2000009311	Bm4670a.1	ortholog_one2one
TMUE_2000009312	Bm13801c.1	ortholog_one2one
TMUE_2000009313	Bm3035.1	ortholog_one2one
TMUE_2000006944	Bm3651.1	ortholog_one2one
TMUE_2000007356		
TMUE_2000009768	Bm7622.1	ortholog_one2one
TMUE_2000009769	Bm5165.1	ortholog_one2one
TMUE_2000009772		
TMUE_2000007357	Bm13675.1	ortholog_one2one
TMUE_2000009773		
TMUE_2000007359	Bm2711.1	ortholog_one2one
TMUE_2000009774	Bm3984.1	ortholog_one2one
TMUE_2000009775	Bm4473.1	ortholog_one2one
TMUE_2000009776	Bm3328.1	ortholog_one2one
TMUE_2000007361		
TMUE_2000009777	Bm6415.1	ortholog_one2one
TMUE_2000007362		
TMUE_2000009778		
TMUE_2000009780		
TMUE_2000009781		
TMUE_0000001759		
TMUE_2000009783		
TMUE_2000007365		
TMUE_2000007366	Bm3783.1	ortholog_one2one
TMUE_2000009784	Bm13793.1	ortholog_one2one
TMUE_2000007367	Bm13798b.1	ortholog_one2one
TMUE_2000009786		
TMUE_2000009787		
TMUE_2000007370	Bm4362a.1	ortholog_one2many
TMUE_2000009792		
TMUE_2000007371		
TMUE_2000007372		
TMUE_2000007374		
TMUE_2000009793		
TMUE_2000007375		
TMUE_2000007376		
TMUE_2000007377		
TMUE_2000009794		
TMUE_2000009795		
TMUE_2000009797		
TMUE_2000007378		
TMUE_2000007379		
TMUE_2000007381		
TMUE_2000009799		
TMUE_2000009800		
TMUE_2000007383		
TMUE_2000007384	Bm2891b.1	ortholog_one2many
TMUE_2000009801	Bm4089b.1	ortholog_one2one
TMUE_2000007385	Bm13799.1	ortholog_one2one
TMUE_2000009802	Bm5082a.1	ortholog_one2one
TMUE_2000007386	Bm3628.1	ortholog_one2one
TMUE_2000009803		
TMUE_2000007387		
TMUE_2000007388		
TMUE_2000009804	Bm4012b.1	ortholog_one2many
TMUE_2000009805	Bm4012b.1	ortholog_one2many
TMUE_2000007389		
TMUE_2000009806		
TMUE_2000007390	Bm5202.1	ortholog_one2one
TMUE_2000007391	Bm13006.1	ortholog_one2one
TMUE_2000007392	Bm5756.1	ortholog_one2one
TMUE_2000009807	Bm13163.1	ortholog_one2one
TMUE_2000009808	Bm7633.1	ortholog_one2one
TMUE_2000009809	Bm6562b.1	ortholog_one2one
TMUE_2000007393	Bm14025.1	ortholog_one2one
TMUE_2000007394	Bm2810b.1	ortholog_one2one
TMUE_2000007398		
TMUE_2000009811	Bm6878a.1	ortholog_one2many
TMUE_2000007399	Bm4039a.1	ortholog_one2many
TMUE_2000007399	Bm9351.1	ortholog_one2many
TMUE_2000009812	Bm14030.1	ortholog_one2one
TMUE_2000007400		
TMUE_2000007403		
TMUE_2000007404		
TMUE_2000009813		
TMUE_2000007405		
TMUE_2000007408	Bm1901a.1	ortholog_many2many
TMUE_2000009816		
TMUE_2000007409		
TMUE_2000009818	Bm7504a.1	ortholog_one2many
TMUE_2000009821		
TMUE_2000009822		
TMUE_2000007413	Bm5419a.2	ortholog_one2one
TMUE_2000007414	Bm7634a.1	ortholog_one2one
TMUE_2000007415		
TMUE_2000009823		
TMUE_2000007416		
TMUE_2000007417		
TMUE_2000009825	Bm6611.1	ortholog_one2one
TMUE_2000007418	Bm4588.1	ortholog_one2one
TMUE_2000009827		
TMUE_2000007419		
TMUE_2000009828		
TMUE_2000009829	Bm6765.1	ortholog_one2one
TMUE_2000007423		
TMUE_2000007425		
TMUE_2000009830	Bm13731a.1	ortholog_one2one
TMUE_2000009832	Bm2556a.1	ortholog_one2many
TMUE_2000007429		
TMUE_2000007430		
TMUE_2000007432	Bm6742.1	ortholog_one2many
TMUE_2000009838	Bm5815.1	ortholog_one2many
TMUE_2000007433		
TMUE_0000000693	Bm5980.1	ortholog_many2many
TMUE_0000000694		
TMUE_0000000685	Bm12647c.1	ortholog_one2one
TMUE_0000000686	Bm2690.1	ortholog_one2one
TMUE_0000000695	Bm13613.1	ortholog_one2one
TMUE_0000000653		
TMUE_0000000645	Bm6715a.1	ortholog_one2one
TMUE_1000004247		
TMUE_1000005978		
TMUE_1000005979	Bm4973.1	ortholog_one2one
TMUE_1000004250	Bm2356a.1	ortholog_one2one
TMUE_1000004251		
TMUE_1000005980		
TMUE_1000004252		
TMUE_1000004253		
TMUE_1000005981	Bm8893.1	ortholog_one2many
TMUE_1000005981	Bm8041a.1	ortholog_one2many
TMUE_1000004254		
TMUE_1000004255		
TMUE_1000005982	Bm7113.1	ortholog_one2many
TMUE_3000012395	Bm9644a.1	ortholog_one2many
TMUE_3000014532		
TMUE_3000014531	Bm11093.1	ortholog_one2one
TMUE_3000012393		
TMUE_3000014530	Bm4414.1	ortholog_one2one
TMUE_3000012391		
TMUE_3000012389		
TMUE_3000014527		
TMUE_3000014525		
TMUE_3000012388		
TMUE_3000014524	Bm12558.1	ortholog_one2one
TMUE_3000014523		
TMUE_3000012386	Bm13779b.1	ortholog_one2one
TMUE_3000012385		
TMUE_3000014521		
TMUE_3000014520		
TMUE_3000012384		
TMUE_3000012383	Bm3907b.1	ortholog_one2many
TMUE_3000012383	Bm17705.1	ortholog_one2many
TMUE_3000012383	Bm17205.1	ortholog_one2many
TMUE_3000012383	Bm17236.1	ortholog_one2many
TMUE_3000012381	Bm4147.1	ortholog_one2one
TMUE_3000014519		
TMUE_3000014518	Bm2442.1	ortholog_one2one
TMUE_3000012380		
TMUE_3000014517		
TMUE_3000014516	Bm2646.1	ortholog_one2one
TMUE_3000012379	Bm6943.1	ortholog_one2one
